dist,double,exacta,exacta_dividends,exacta_results,first_4,first_4_dividends,first_4_results,place,quaddle,qulnella,qulnella_dividends,qulnella_results,race_name,rank_1_P,rank_1_W,rank_1_name,rank_1_num,rank_1_rider,rank_2_P,rank_2_W,rank_2_name,rank_2_num,rank_2_rider,rank_3_P,rank_3_W,rank_3_name,rank_3_num,rank_3_rider,sno,start,trifecta,trifecta_dividends,trifecta_results,win
0,11:48,1200,MUMM CHAMPAGNE MAIDEN 3UP SW MDN,12,LA VINA,BRAD PARNHAM,3.80,1.50,10,JAGUAR GREY,SHAUN O'DONNELL,-,1.04,1,MIMS WIN,JASON WHITING,-,1.80,7,APACHE RABBIT,LUCY WARWICK,-,-,40.7K,13.9K,"7,060","2,863",21.8K,14.7K,"1,615",-,10-12,4.40,12-10,9.50,12-10-1,30.20,12-10-1-7,336.20
1,12:24,2200,BUDGET CAR & TRUCK RENTAL HANDICAP 3UP 78+ HCP,2,RED ARMY,WILLIAM PIKE,1.70,1.20,7,SWIFT PLATINUM,BEAUX BANOVIC-EDWARDS (A3.0),-,11.30,1,WESTERN TEMPLE,CHRIS GRAHAM (A3.0),-,-,3,SUPERIOR SMILE,JOSEPH AZZOPARDI,-,-,24.3K,"7,058","5,261","2,989",13.8K,16.3K,"1,051",-,2-7,33.10,2-7,49.60,2-7-1,212.70,2-7-1-3,561.80
2,13:04,1500,HAPPY 30TH BIRTHDAY TIARNNA ROBERTSON HANDICAP 3Y 62+ HCP,1,KELVIN,CHRIS GRAHAM (A3.0),5.60,2.30,6,DEPUTANO,BRAD PARNHAM,-,3.90,2,LAST OF THE LINE,RYAN HILL,-,-,3,DIVIDE THE SEA,CHRIS PARNHAM,-,-,29.9K,"8,710","5,526","3,671",17.8K,17K,"1,028",26.6K,1-6,26.10,1-6,36.80,1-6-2,52.30,1-6-2-3,214.00
3,13:44,1000,TABTOUCH WESTSPEED PLATINUM HANDICAP 3UP 0MW 57+ HCP,4,ROUND THE POINT,SHAUN MCGRUDDY,9.60,3.00,8,DEW WEST,WILLIAM PIKE,-,2.60,10,WAKAN TANKA,STEVEN PARNHAM,-,2.00,7,BEAT THE BELL,EMMA STENT,-,-,22.1K,12.2K,"5,449","1,868",13.4K,"8,096","1,006",-,4-8,59.90,4-8,135.90,4-8-10,540.30,4-8-10-7,11103.90
4,14:24,1000,SEACORP HANDICAP 3UP 78+ HCP,8,GUNS OF NAVARONE,BRAD PARNHAM,10.70,2.60,5,MERVYN,MITCHELL PATEMAN,-,1.30,9,HOBOKEN,STEVEN PARNHAM,-,3.20,10,MASSIMO,WILLIAM PIKE,-,-,36.7K,22.5K,10.7K,"4,491",28.9K,20.2K,"2,134",-,5-8,20.30,8-5,53.30,8-5-9,407.10,8-5-9-10,728.30
5,15:03,1600,MRS MAC'S HANDICAP 2UP 72+ HCP,11,UTGARD LOKI,LUCY WARWICK,3.40,1.60,5,BRITISH BESSY,ALAN KENNEDY,-,5.50,2,LORENTINIO,CHRIS GRAHAM (A3.0),-,2.00,6,LAUFEY,WILLIAM PIKE,-,-,45.6K,20.9K,10.4K,"3,461",29K,18.3K,"2,036",-,5-11,54.20,11-5,46.90,11-5-2,291.00,11-5-2-6,1771.20
6,15:45,1200,GLENROY CHAFF HANDICAP 3UP 66+ HCP,10,BLACK DUCATI,CHRIS PARNHAM,5.40,2.20,7,LIPSTICK FLICKERS,SHAUN MCGRUDDY,-,2.10,13,SOLID AZZA,JOSEPH AZZOPARDI,-,4.90,5,GATES OF BABYLON,CHRIS GRAHAM (A3.0),-,-,57.4K,29.5K,19.6K,"5,794",45.4K,26.6K,"3,287",274K,7-10,10.70,10-7,23.10,10-7-13,237.10,10-7-13-5,1526.60
7,16:20,3200,WESTERN AUSTRALIA CUP 3UP 89+,1,SPIRITUAL WARRIOR,LUCY WARWICK,2.90,1.20,3,DARK MUSKET,JASON WHITING,-,1.80,7,HE'S A PARKER,CHRIS PARNHAM,-,1.50,11,STAFFORD'S LAD,JARRAD NOSKE,-,-,61.8K,26.4K,14K,"4,837",57.2K,44.7K,"4,465",-,1-3,9.00,1-3,16.90,1-3-7,41.30,1-3-7-11,211.80
8,17:00,1400,AMELIA PARK-WA SIRES' PRODUCE STAKES 2Y GROUP3 SW,5,WATCH ME DANCE,SHAUN MCGRUDDY,1.80,1.04,1,DOM TO SHOOT,PATRICK CARBERY,-,2.10,2,EM TEE AYE,JARRAD NOSKE,-,4.10,9,CHICLETT,JOSEPH AZZOPARDI,-,-,61.1K,27K,14.9K,"6,774",46K,163K,11.4K,-,1-5,5.50,5-1,7.90,5-1-2,73.40,5-1-2-9,398.60
9,17:25,1400,CROWN PERTH HANDICAP 2UP 0MW 60+,13,SHE'S ALIGHT (NZ),PATRICK CARBERY,11.70,3.60,14,SNIPPY MISS,CLINT JOHNSTON-PORTER,-,3.30,11,BABY BLUES,JOSEPH AZZOPARDI,-,2.50,3,SKINNEN TINS,JADE MCNAUGHT (A1.5),-,-,59.8K,27.7K,15.6K,"5,475",54.1K,41.4K,-,-,13-14,69.30,13-14,151.00,13-14-11,1114.00,13-14-11-3,15380.30
0,18:21,2100,"TABTOUCH WESTBRED MARES FEATURE MS PACE (SKY2) NE HWOE $6,000+ PACE SKY2",6,HONG KONG DOLLY,DYLAN EGERTON-GREEN,2.70,1.80,2,SANFORD TILLY,HAYDEN HANCOCK,-,3.80,5,DOTANDNELL,BAILEY MCDONOUGH,-,-,3,BORONIA GULLY,CHRIS LEWIS,-,-,"8,281","3,990","1,098","1,418","3,485","2,604",154,"2,615",2-6,7.60,6-2,8.10,6-2-5,44.40,6-2-5-3,158.50
1,18:58,2100,"TABTOUCH COMMUNITY MS PACE (SKY2) NE HWOE $6,000+ PACE SKY2",1,MY LOVE LETTERS (NZ),CHRIS LEWIS,1.60,1.04,2,HURN,DEAN MILLER,-,1.80,8,ALTA CAMINO,TRENT WHEELER,-,3.00,6,I WORK OUT (NZ),JOSEPH SUVALJKO,-,-,"2,728","2,148","1,075",615,"3,274","2,526",84,-,1-2,3.60,1-2,4.70,1-2-8,37.10,1-2-8-6,248.40
2,19:45,1609,"SKY RACING MS PACE (SKY2) L5$ LT $4,000 PACE SKY2",1,EDMUN DEE,ALDO CORTOPASSI,2.70,1.30,4,OWNTHETHRONE,DONALD HARPER,-,2.20,5,SHEZLIKATERROR,MICHAEL GRANTHAM,-,3.10,6,SHADES OF ELLIE,CHRIS VOAK,-,-,"7,942","2,783","1,978",948,"4,548","4,030",178,-,1-4,15.30,1-4,18.00,1-4-5,125.80,1-4-5-6,461.80
3,20:10,2569,"SOUTHERN CROSS AUSTEREO MS PACE (SKY1) NE HWOE $25,000+ PACE SKY1",7,ALTA RHETT,KAIDEN HAYTER,15.10,3.50,6,ANTERO,SHANNON SUVALJKO,-,1.80,8,OURBOYBART,EMILY SUVALJKO,-,1.50,4,SHEZA SPOILT MISS,DEAN MILLER,-,-,"6,998","3,282","2,215","1,231","6,871","6,708",320,-,6-7,23.20,7-6,54.20,7-6-8,288.20,7-6-8-4,2127.80
4,20:35,2100,"SUNWISE DIGGERS CUP MS PACE (SKY1) HWOE LT $40,000 PACE SKY1",10,HOIHO (NZ),MARK JOHNSON,6.40,1.90,7,WALSH,AIDEN DE CAMPO,-,1.50,9,ANVIL ROLLOVER,DEAN MILLER,-,2.30,8,IT AINT ROYAL,MADELEINE YOUNG,-,-,"9,437","4,500","2,229","1,110","8,039","3,574",233,12.8K,7-10,10.20,10-7,29.00,10-7-9,184.60,"10-7-9-8
                                            Partial C/O","5540.50
                                            (887.23)"
