S.No.,Location Code,Location,Start,Distance,Race Name,Rank 1 Number,Rank 1 Name,Rank 1 Rider,Rank 1 W,Rank 1 P,Rank 2 Number,Rank 2 Name,Rank 2 Rider,Rank 2 W,Rank 2 P,Rank 3 Number,Rank 3 Name,Rank 3 Rider,Rank 3 W,Rank 3 P,Rank 4 Number,Rank 4 Name,Rank 4 Rider,Rank 4 W,Rank 4 P,Win,Place,Qulnella,Exacta,Trifecta,First 4,Double,Quaddle,Qulnella Results,Qulnella Dividends,Exacta Results,Exacta Dividends,Trifecta Results,Trifecta Dividends,First 4 Results,First 4 Dividends
1,MT,Melton,16:30,2240,TAB LONG MAY WE PLAY MAIDEN TROT 4Y AND OLDER,2,FLING IT RAINBOW,LANCE JUSTICE,6.30,2.60,3,WHIRILY ROLLS,ANNE-MAREE CONROY,-,2.50,6,PRINCE OF LIGHT,JEREMY QUINLAN,-,-,5,CHARLIE WALKER,JOHN CALDOW,-,-,"5,913","2,803","1,438",968,"3,983","4,678",416,-,2-3,13.90,2-3,37.90,2-3-6,235.90,2-3-6-5,488.50
11,MDX,Bendigo,16:35,425,GRAY'S BENDIGO GR5 T3,8,MY NAME'S GEORGE,C. RUSSELL,8.80,2.10,6,ALL BLING,D. TORR,-,1.70,2,MI ROMA,D. BUNN,-,1.20,5,ANOTHER BLING,G. KANTZIDIS,-,-,"7,971","3,431","2,319","1,889","6,343","5,963",-,-,6-8,15.90,8-6,18.10,8-6-2,128.90,8-6-2-5,688.60
0,OD,Winnellie Park,16:38,312,SAGE CONTRACTING DASH MDN,7,BIONIC GIRL,S. BOLTON,-,1.20,8,PETE'S PUPPET,S. BOLTON,-,-,4,JUGGLIN' JAKE,G. SCOTT,-,-,2,JACK LONG,R. BROWN,-,-,"2,363",Aban.,338,361,705,"1,026",10,83,7-8,2.10,7-8,18.30,7-8-4,36.10,7-8-4-2,13.40
3,ST,Bathurst,16:40,1730,BLING IT ON PACE NR UP TO 120 PACE,10,ATOMIC RED,AMANDA TURNBULL,1.30,1.00,1,LIFE LAVROS (NZ),ASHLEE GRIVES,-,2.00,9,POWER OF RED,NATHAN TURNBULL,-,1.50,8,HIDDEN COURAGE,STEVE TURNBULL,-,-,"4,168","4,936","1,290",649,"4,433","5,383",69,-,1-10,3.60,10-1,5.10,10-1-9,10.40,10-1-9-8,98.00
7,PR,Ascot,16:45,1800,AMELIA PARK LAMB HANDICAP CL3 54+ HCP,2,WESTERN KING,WILLIAM PIKE,8.40,2.10,7,WE'LL MEET AGAIN (NZ),LAQDAR RAMOLY (A3.0),-,4.80,1,SENTIMENTAL FRIEND,MITCHELL PATEMAN,-,1.80,10,FLYING TARGET,LUCY WARWICK,-,-,38.1K,21.2K,14.8K,"4,735",37K,29.5K,-,-,2-7,113.30,2-7,170.70,2-7-1,421.40,2-7-1-10,8306.60
0,MD,Cranbourne,16:48,311,RAPIDVITE ANIMAL PRODUCTS MDN,2,KOH LIPE,J. CONDON,1.90,2.00,3,SHANGHAI AVATAR,L. DESMOND,-,2.60,7,CUTIE KAY,G. NICOLL,-,-,8,FREE KICK HAWKS,J. PATERSON,-,-,"4,049","1,628",810,471,"2,538","2,430",126,"1,555",2-3,4.70,2-3,9.80,2-3-7,29.20,2-3-7-8,124.90
0,BD,Rockhampton,16:51,407,KOKODA TRAIL MDN,4,SWEET BLUE,T. THORLEY,2.80,1.20,6,ARCHIE HARKS,G. HARKER,-,1.20,1,LOOSE CHANGE,A. SULI,-,2.70,2,AEROBIC SPRITE,A. SULI,-,-,"6,652","1,575","1,686",560,"3,592","2,798",35,170,4-6,4.30,4-6,8.10,4-6-1,44.70,4-6-1-2,141.30
2,BT,Redcliffe,16:53,1780,CHANGEOVER STANDING @ BURWOOD STUD PACE NR 55 TO 60 PACE,5,TAYLOR HOOD,NATHAN DAWSON,2.90,1.30,6,LITTLELIONELJAMES,PAUL DIEBERT,-,1.90,1,NON PASSARE,TALEAH MCMULLEN,-,1.30,2,TORQUE IS MY GIRL,HAYDEN BARNES,-,-,"4,801","1,819","1,155",755,"3,141","3,395",116,-,5-6,8.60,5-6,12.20,5-6-1,41.10,5-6-1-2,221.40
0,MDP,Ballarat,16:58,450,EVERY RACE LIVE ON THE WATCHDOG APP MDN,10,NESSA'S ZARA (1),A. DAILLY,4.20,2.10,5,HEBRIDEAN BLACK,L. COCKERELL,-,2.70,7,SKIBO REBEL,S. ELSUM,-,-,2,YOEL BALE,A. DAILLY,-,-,"5,610","2,046","2,056",761,"4,528","4,450",176,"2,206",5-10,32.20,10-5,26.50,10-5-7,138.20,10-5-7-2,364.20
2,MT,Melton,17:00,1720,BUY FLYING BRICK CIDER ONLINE 2YO & 3YO TROTTERS HANDICAP 2&3Y HCP SS,2,SURPRISE TO ME,RYAN DUFFY,5.10,2.50,7,EXCELLENT DROP,RICHIE CARUANA,-,2.80,4,KAUDO,MICHAEL COLE,-,-,3,CORK,DAVID MURPHY,-,-,"7,403","2,214","1,654",779,"3,418","4,385",511,-,2-7,14.50,2-7,17.50,2-7-4,102.70,2-7-4-3,577.70
