S.No.,Location Code,Location,Start,Distance,Race Name,Rank 1 Number,Rank 1 Name,Rank 1 Rider,Rank 1 W,Rank 1 P,Rank 2 Number,Rank 2 Name,Rank 2 Rider,Rank 2 W,Rank 2 P,Rank 3 Number,Rank 3 Name,Rank 3 Rider,Rank 3 W,Rank 3 P,Rank 4 Number,Rank 4 Name,Rank 4 Rider,Rank 4 W,Rank 4 P,Win,Place,Qulnella,Exacta,Trifecta,First 4,Double,Quaddle,Qulnella Results,Qulnella Dividends,Exacta Results,Exacta Dividends,Trifecta Results,Trifecta Dividends,First 4 Results,First 4 Dividends
5,MD,Cranbourne,18:28,311,WINNING POST SUPPLIES FFA,3,ALMAPA BERISHA,P. DERUBEIS,2.60,1.40,2,LEMONADE KID,J. GIESCHEN,-,1.04,6,KINLOCH JOURNEY,J. BELSHAM,-,-,1,IT'S A DRAMA,P. BROWN,-,-,"6,749","2,199",908,614,"3,667","3,515",93,-,2-3,2.90,3-2,5.30,3-2-6,81.80,3-2-6-1,123.90
5,MT,Melton,18:30,2240,DEVCON PROPERTIES TROTTERS HANDICAP NR 52 TO 120 HCP SS,8,SONNY BROOKE,JOHN CALDOW,2.20,1.40,5,CLASSY LOLA,RYAN DUFFY,-,2.20,7,ZOOMAS LEGEND,MATTHEW WHITTLE,-,5.70,1,IM NOTTA TROTTER,BROOKE SADLER,-,-,"4,861","2,291","1,242",646,"3,480","3,975",558,-,5-8,11.90,8-5,25.40,8-5-7,139.10,8-5-7-1,564.60
0,ARP,Bro Park - SWE,18:30,1600,BRO PARK 3Y,6,FIRST COURSE,FREDRIK JANETZKY,11.50,2.60,7,ELLIS ST MARTIN,FABIENNE DE GEER,-,2.10,1,HOOTENANNY,PER-ANDERS GRABERG,-,1.50, , , , , ,"3,169",757,365,260,"1,751",8,-,-,6-7,35.60,6-7,143.70,6-7-1,883.30,6-5,Carryover
0,PD,Cannington,18:31,520,TABTOUCH PARK MDN,2,BACK NET,J. MARSH,3.00,2.10,4,HAPPY TALK,C. HALSE,-,5.30,1,ULTRA PERFORMER,T. ERENSHAW,-,-,5,ORIENTAL RUNNER,E. CRUDELI,-,-,"2,020",980,504,440,"1,692","1,343",42,"1,300",2-4,9.30,2-4,22.50,2-4-1,56.60,2-4-1-5,121.30
5,BD,Rockhampton,18:34,407,EL ALAMEIN P5,8,BOWIE BEACH,M. BRIDER,9.70,2.50,7,MON MANNY BEACH,A. SULI,-,1.20,4,SUPER SUZIE QUE,C. POLLARD,-,2.20,2,GOLDEN DEVIL,K. BOODY,-,-,"4,206","2,265",936,667,"2,952","2,587",38,-,7-8,19.40,8-7,47.90,8-7-4,164.90,8-7-4-2,1024.00
5,MDP,Ballarat,18:37,545,REVOLUTION PRINT MX 4/5,2,LAST HURRAH,B. NYE,1.50,1.60,6,LEON BALE,A. DAILLY,-,1.30,4,LIZZIE'S ENTITY,D. KNIGHT,-,-,7,BRADY'S SHOUT,V. GILES,-,-,"5,223","1,927","1,412","1,014","4,789","4,853",174,-,2-6,2.30,2-6,3.90,2-6-4,9.30,2-6-4-7,19.50
7,ST,Bathurst,18:39,1730,BALLINGER TRANSPORT MAIDEN PACE NO NR PACE,7,IBBIN NADIA,BERNIE HEWITT,5.60,1.80,6,ALPHA XENA,TONY HIGGS,-,2.80,9,ZERMATT,EMMA TURNBULL,-,2.00,10,DRIVE TO THE BEACH,AMANDA TURNBULL,-,-,"3,656","1,214",605,755,"2,515","2,782",-,-,6-7,39.10,7-6,49.90,7-6-9,187.50,7-6-9-10,581.30
6,OD,Winnellie Park,18:40,312,NT BOUNDLESS POSSIBLE DASH GR5,8,CAWBOURNE DIXIE,S. BOLTON,4.50,2.70,7,MINOR DETAILS,R. SAVIGE,-,2.00,1,LILLY PILLY LASS,R. SAVIGE,-,1.40,4,PETE'S KITCHEN,R. BROWN,-,-,"2,415","1,083",381,206,"1,715","1,068",25,-,7-8,6.30,8-7,16.30,8-7-1,43.80,8-7-1-4,424.30
5,SD,Richmond,18:43,535,BESS ELECTRICAL STAKES MX 4/5,4,ARMED ASSASSIN,M. GATT,8.70,2.40,1,GOOD ODDS ARMANI,A. BELL,-,1.70,2,KNIGHTHOOD,P. LAGOGIANE,-,1.00,5,WARDEN ANN,S. SIMONETTA,-,-,"4,669","2,848","1,045",599,"3,468","4,185",66,-,1-4,15.30,4-1,31.90,4-1-2,63.20,4-1-2-5,226.30
0,PRX,Happy Valley - HK,18:45,1200,TULIP HANDICAP - TURF CL5 HCP RTG 40-0,8,GREAT SON,H N WONG,6.20,2.20,11,SHOW MISSION,K C LEUNG,-,2.85,6,KWAI CHUNG ELITE,Z PURTON,-,1.85,2,AURORA STEED,C SCHOFIELD,-,-,3.49M,3.63M,5.41M,"1,407",847K,"3,247","1,485",-,8-11,28.10,8-11,68.90,8-11-6,263.40,8-11-6-2,930.40
6,MD,Cranbourne,18:49,311,CASEY STEEL FINAL (3-6 WINS) R/W FNL,1,KRAKEN JACKI,N. LUND,1.90,1.04,8,MIGHTY TRACEY,J. BROWN,-,2.90,5,SHAKALAKA,D. DEAN,-,2.10,2,PETITE CHARLOTTE,J. SHARP,-,-,"6,072","2,889","1,879",888,"5,906","5,182",133,-,1-8,11.40,1-8,18.40,1-8-5,83.30,1-8-5-2,391.20
6,BT,Redcliffe,18:51,2040,DENNIS WHITTAKER MAIDEN PACE NO NR PACE,2,MELTON MAX GENTLE,TALEAH MCMULLEN,4.60,1.40,6,BUTCHERFEELGOOD,NATHAN DAWSON,-,5.90,3,LANOCH BOY,HAYDEN BARNES,-,1.80,4,TILDALYN,NARISSA MCMULLEN,-,-,"4,623","2,141",907,739,"3,058","3,371",158,-,2-6,38.20,2-6,38.50,2-6-3,177.90,2-6-3-4,1197.60
1,PD,Cannington,18:53,380,WATCH US ON SKY RACING MDN,8,SIMPLY CRITICAL,T. MITCHEM,11.10,3.40,1,UNCLE LEO,V. COOK,-,2.40,4,SIMPLY ACCUSED,T. MITCHEM,-,-,7,CHIEF ANGEL,J. WILSON,-,-,"2,702","1,049",695,401,"2,334","2,034",140,-,1-8,18.20,8-1,58.90,8-1-4,210.90,8-1-4-7,1294.00
6,BD,Rockhampton,18:56,407,ANZAC COVE GR5,5,TESTING SPEED,D. BECKETT,3.40,1.20,1,ANGRY ANGUS,C. EMERY,-,1.10,2,NAZARE,K. BOODY,-,1.30,3,BIRMINGHAM LASS,W. PIRIE,-,-,"5,854","2,261","1,628",593,"3,564","3,590",12,-,1-5,3.40,5-1,6.90,5-1-2,28.70,5-1-2-3,92.40
6,MDP,Ballarat,18:59,450,GRV VIC BRED SERIES FINAL GR5 FN,4,AEROPLANE ERIC,G. ROUNDS,3.80,1.30,2,NADALI,R. BRITTON,-,1.30,6,RUN BABA RUN,J. GALEA,-,9.20,8,ORIGAMI ANGEL,M. LANIGAN,-,-,"7,339","3,825","1,190",622,"4,810","4,077",211,-,2-4,6.90,4-2,19.40,4-2-6,313.40,4-2-6-8,1288.50
1,ARP,Bro Park - SWE,19:00,1600,BRO PARK 3UP,5,SALTIE GIRL,SHANE KARLSSON,9.80,3.20,9,ARETHA,ELIONE CHAVES,-,1.04,1,LAUGHTER LOUNGE,CORNELIA HARTSMAR,-,3.40, , , , , ,"1,076",454,187,118,916,4,-,-,5-9,13.50,5-9,27.60,5-9-1,303.40,6-5,Carryover
6,MT,Melton,19:01,2240,JIMS MOWING PACE NR 54 TO 57 PACE,4,KARDESLER (NZ),GREG SUGARS,1.10,1.04,6,SEW WHAT,LANCE JUSTICE,-,2.60,9,BETTA BOPPER (NZ),EMMETT BROSNAN,-,-,5,FIRST AND ERST,KEN TIPPET,-,-,"4,449","3,203","1,461","1,054","4,905","6,141",616,-,4-6,2.80,4-6,3.50,4-6-9,16.70,4-6-9-5,57.80
7,OD,Winnellie Park,19:02,383,NIGHTCLIFF SPORTS CLUB M4/5,1,LEMON DROP,R. SAVIGE,4.90,2.60,8,SIBLING,R. SAVIGE,-,5.00,2,GRIMSHAW,R. PHILLIPS,-,-,3,GALLOPING EDDIE,R. SAVIGE,-,-,"2,311",754,557,243,"1,233","1,174",6,-,1-8,12.70,1-8,13.20,1-8-2,42.80,1-8-2-3,438.50
6,SD,Richmond,19:06,400,TSR ACCESS SERVICES STAKES FFA,8,MOTTZA,P. CHAKER,1.40,1.04,2,CANYA LILLY,A. BELL,-,1.50,7,BAGO ROAD,B. KING,-,2.90,3,MARGOLIS,D. CAMPBELL,-,-,"4,065","2,257",975,665,"4,654","3,955",62,-,2-8,2.40,8-2,3.00,8-2-7,14.80,8-2-7-3,88.20
7,MD,Cranbourne,19:09,520,BACKMANS PET FOODS MX 4/5,8,PERFECT MARSHALL,J. COTTRELL,2.00,1.20,5,TERREN'S CLOSE,C. JOHANNSEN,-,1.30,1,DEX'S AFFAIR,J. CLAY,-,3.60,4,ANGRY TRIP,R. ROMYN,-,-,"8,082","3,620","1,255",809,"4,742","5,410",84,-,5-8,2.40,8-5,5.80,8-5-1,19.60,8-5-1-4,107.30
7,BD,Rockhampton,19:12,407,LONG TAN GR5,3,CISCO SNIPER,C. EMERY,8.10,2.70,5,PAUA OF BONDI,D. BECKETT,-,1.04,2,ORIENTAL OLLIE,K. BOODY,-,2.00,8,BUSH SOLDIER,N. JACKSON,-,-,"6,195","2,060","1,595",800,"3,679","4,224",70,-,3-5,12.30,3-5,42.80,3-5-2,147.30,3-5-2-8,858.00
2,PD,Cannington,19:15,380,SULLY'S PAINTING NOV,2,SHOWING,B. MACLEAN,6.20,1.90,1,BOORA GOLD,K. CHARLES,-,1.70,5,MASON ROCKS,K. CHARLES,-,1.30,7,PINCH ME,S. RICHARDS,-,-,"2,535","1,309",712,312,"2,730","1,578",82,-,1-2,7.30,2-1,19.50,2-1-5,73.60,2-1-5-7,171.30
1,PRX,Happy Valley - HK,19:15,1200,JONQUIL HANDICAP - TURF CL4 HCP RTG 60-40,5,HERO TIME,Z PURTON,8.20,2.50,8,HAPPY TANGO,C SCHOFIELD,-,9.40,12,HAPPY WINNER,H N WONG,-,16.40,7,GINTOKI,V BORGES,-,-,3.85M,3.93M,5.99M,"1,743",902K,"4,351","1,028",13.5K,5-8,124.45,5-8,88.30,5-8-12,10923.20,"5-8-12-7
                                            Partial C/O","6744.50
                                            (3243.83)"
7,MDP,Ballarat,19:18,450,3BA/POWER FM MX 4/5,9,ASTON AJAX (7),P. ABELA,34.20,5.80,6,PENTA ALLEN,M. DELBRIDGE,-,1.60,1,SCATTERBOX,J. GALEA,-,1.70,4,REIKO BOSS,A. DAILLY,-,-,"4,873","2,701","1,027",655,"2,962","2,647",136,-,6-9,57.30,9-6,248.10,9-6-1,514.30,9-6-1-4,1757.00
7,BT,Redcliffe,19:20,1780,GARRARDS HERE ON TRACK PACE NR 40 TO 49 PACE,6,MAYWYNS JEWEL,KELLI DAWSON,2.70,1.50,5,VOODOO FELLA,NATHAN DAWSON,-,1.70,4,MAGHERA MAGGIE,ANGUS GARRARD,-,-,8,WHATA STRIDE,TALEAH MCMULLEN,-,-,"4,327","1,190","1,036","1,203","3,776","3,823",-,-,5-6,5.60,6-5,7.10,6-5-4,14.60,6-5-4-8,32.00
8,OD,Winnellie Park,19:22,312,LADBROKES CASH IN DASH MX 4/5,4,CROCODILE BOLT,R. SAVIGE,5.90,2.60,6,PRETTY PAYTON,S. BOLTON,-,6.20,8,WEEONA BEC,S. BOLTON,-,-,2,RITTO'S HANGER,G. SCOTT,-,-,"3,373",593,320,320,676,"1,014",2,-,4-6,13.30,4-6,27.70,4-6-8,147.90,4-6-8-2,212.70
7,SD,Richmond,19:25,330,LADBROKES PROTEST PAYOUT STAKES FFA,2,DIMITROV,G. MCKINLEY,2.30,1.60,3,BLACKPOOL DOC,M. KNOWLES,-,8.50,7,TILTED TOWERS,J. CHAPMAN,-,3.10,1,FLYING APOLLO,A. BELL,-,-,"3,864","2,164","1,172",866,"4,513","5,025",127,-,2-3,26.80,2-3,43.90,2-3-7,172.00,2-3-7-1,806.40
8,MD,Cranbourne,19:28,311,TOP CAT VIDEO GR5,1,BIG BELLA,K. MCCANN,7.10,1.50,5,BUBBA JO,D. DEAN,-,1.10,6,LET'S ROLL,I. DANN,-,3.30,3,HOLLY'S AFFAIR,J. CLAY,-,-,11.3K,"2,742","1,849",767,"4,707","3,787",164,-,1-5,6.80,1-5,19.00,1-5-6,138.60,1-5-6-3,341.20
S.No.,Location Code,Location,Start,Distance,Race Name,Rank 1 Number,Rank 1 Name,Rank 1 Rider,Rank 1 W,Rank 1 P,Rank 2 Number,Rank 2 Name,Rank 2 Rider,Rank 2 W,Rank 2 P,Rank 3 Number,Rank 3 Name,Rank 3 Rider,Rank 3 W,Rank 3 P,Rank 4 Number,Rank 4 Name,Rank 4 Rider,Rank 4 W,Rank 4 P,Win,Place,Qulnella,Exacta,Trifecta,First 4,Double,Quaddle,Qulnella Results,Qulnella Dividends,Exacta Results,Exacta Dividends,Trifecta Results,Trifecta Dividends,First 4 Results,First 4 Dividends
